         200
 0.501805E+02  0.832722E+05  0.332030E+04  0.107469E+03  0.682682E+01  0.173210E+03  0.182364E+03  0.139491E+03  0.170674E-02
 0.499803E+02  0.814380E+05  0.324718E+04  0.105683E+03  0.683092E+01  0.172125E+03  0.181285E+03  0.137917E+03  0.183586E-02
 0.497750E+02  0.795901E+05  0.317352E+04  0.103873E+03  0.683456E+01  0.171014E+03  0.180187E+03  0.136418E+03  0.198506E-02
 0.495646E+02  0.777298E+05  0.309936E+04  0.102038E+03  0.683737E+01  0.169875E+03  0.179069E+03  0.134980E+03  0.215290E-02
 0.493487E+02  0.758584E+05  0.302475E+04  0.100179E+03  0.683908E+01  0.168709E+03  0.177931E+03  0.133594E+03  0.233820E-02
 0.491275E+02  0.739770E+05  0.294975E+04  0.982966E+02  0.683943E+01  0.167515E+03  0.176770E+03  0.132250E+03  0.254010E-02
 0.489007E+02  0.720872E+05  0.287441E+04  0.963915E+02  0.683823E+01  0.166292E+03  0.175588E+03  0.130944E+03  0.275795E-02
 0.486683E+02  0.701903E+05  0.279879E+04  0.944645E+02  0.683530E+01  0.165041E+03  0.174383E+03  0.129671E+03  0.299133E-02
 0.484302E+02  0.682879E+05  0.272295E+04  0.925163E+02  0.683053E+01  0.163760E+03  0.173155E+03  0.128427E+03  0.324002E-02
 0.481862E+02  0.663814E+05  0.264695E+04  0.905477E+02  0.682384E+01  0.162450E+03  0.171903E+03  0.127210E+03  0.350401E-02
 0.479364E+02  0.644726E+05  0.257085E+04  0.885597E+02  0.681519E+01  0.161109E+03  0.170627E+03  0.126021E+03  0.378362E-02
 0.476805E+02  0.625631E+05  0.249472E+04  0.865528E+02  0.680465E+01  0.159738E+03  0.169325E+03  0.124862E+03  0.408030E-02
 0.474177E+02  0.606545E+05  0.241863E+04  0.845269E+02  0.679199E+01  0.158332E+03  0.167994E+03  0.123731E+03  0.439775E-02
 0.471471E+02  0.587487E+05  0.234265E+04  0.824831E+02  0.677626E+01  0.156887E+03  0.166634E+03  0.122604E+03  0.473748E-02
 0.468702E+02  0.568475E+05  0.226685E+04  0.804244E+02  0.675691E+01  0.155409E+03  0.165247E+03  0.121469E+03  0.509585E-02
 0.465868E+02  0.549527E+05  0.219131E+04  0.783529E+02  0.673413E+01  0.153900E+03  0.163833E+03  0.120334E+03  0.547263E-02
 0.462969E+02  0.530663E+05  0.211611E+04  0.762705E+02  0.670797E+01  0.152359E+03  0.162393E+03  0.119201E+03  0.586855E-02
 0.460004E+02  0.511902E+05  0.204131E+04  0.741791E+02  0.667844E+01  0.150785E+03  0.160928E+03  0.118073E+03  0.628465E-02
 0.456971E+02  0.493263E+05  0.196699E+04  0.720804E+02  0.664556E+01  0.149178E+03  0.159436E+03  0.116950E+03  0.672221E-02
